0, 0.510407
1, 0.650672
2, 0.567042
3, 0.501545
4, 0.492184
5, 0.492059
6, 0.492013
7, 0.49197
8, 0.491931
9, 0.491888
10, 0.491846
11, 0.491805
12, 0.491763
13, 0.491722
14, 0.491678
15, 0.491635
16, 0.491597
17, 0.491552
18, 0.491512
19, 0.491468
20, 0.491424
21, 0.491387
22, 0.491339
23, 0.491299
24, 0.491256
25, 0.491213
26, 0.491172
27, 0.491128
28, 0.491086
29, 0.491046
30, 0.491001
31, 0.490962
32, 0.490917
33, 0.490874
34, 0.490836
35, 0.490791
36, 0.490748
37, 0.490708
38, 0.490666
39, 0.490629
40, 0.490577
41, 0.490534
42, 0.490489
43, 0.490449
44, 0.490406
45, 0.490363
46, 0.490324
47, 0.49028
48, 0.490239
49, 0.490196
50, 0.490153
51, 0.490112
52, 0.49007
53, 0.490029
54, 0.489986
55, 0.489948
56, 0.489903
57, 0.489863
58, 0.489821
59, 0.489781
60, 0.489739
61, 0.489697
62, 0.489654
63, 0.489613
64, 0.48957
65, 0.489529
66, 0.489485
67, 0.489445
68, 0.489402
69, 0.489361
70, 0.489318
71, 0.489277
72, 0.489236
73, 0.489195
74, 0.489153
75, 0.489111
76, 0.489069
77, 0.489028
78, 0.488987
79, 0.488942
80, 0.488899
81, 0.488853
82, 0.488812
83, 0.48877
84, 0.488728
85, 0.488684
86, 0.48864
87, 0.488595
88, 0.488548
89, 0.488505
90, 0.488455
91, 0.488408
92, 0.488363
93, 0.488313
94, 0.488261
95, 0.488211
96, 0.488161
97, 0.488109
98, 0.488056
99, 0.488005
